TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ar.edu.unrc.game2048.Cell,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9070768495768495,252,226
ar.edu.unrc.game2048.Board,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9030615922611462,1421,1273
